time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-01T12:16:14.570Z,40.442,-125.7746667,23.9,5.36,mw,38,271,1.086,0.19,nc,nc72373456,2017-03-17T23:29:02.082Z,"128km W of Ferndale, California",earthquake,1.48,11.77,,8,reviewed,nc,nc
2015-01-01T13:44:20.656Z,41.8576,-119.6494,9.2,3.1,ml,5,98.35,0.146,0.0917,nn,nn00474756,2018-06-29T23:41:43.404Z,"72km SE of Lakeview, Oregon",earthquake,,6.4,0.44,5,reviewed,nn,nn
2015-01-01T14:11:13.985Z,41.8486,-119.6452,7.6,2.6,ml,5,123.05,0.154,0.0977,nn,nn00474759,2018-06-29T23:41:43.711Z,"71km SE of Lakeview, Oregon",earthquake,,4.9,0.42,5,reviewed,nn,nn
2015-01-01T21:18:15.720Z,38.3646667,-122.6068333,7.067,3,ml,115,36,0.02342,0.11,nc,nc72373706,2017-02-06T23:41:15.950Z,"7km SW of Kenwood, California",earthquake,0.11,0.17,0.249,55,reviewed,nc,nc
2015-01-02T03:23:13.340Z,40.335,-126.3986667,19.622,2.91,md,20,325,1.578,0.24,nc,nc72373851,2017-02-06T23:43:51.827Z,"183km W of Ferndale, California",earthquake,4.35,31.61,0.088,15,reviewed,nc,nc
2015-01-02T10:15:34.380Z,50.8632,-130.3654,10,5.4,mwr,,76,1.523,1.33,us,usc000tb91,2016-11-10T21:45:58.811Z,"208km W of Port Hardy, Canada",earthquake,6,1.8,,,reviewed,us,pgc
2015-01-03T00:19:16.150Z,40.719,-123.625,30.874,2.54,md,39,41,0.1757,0.08,nc,nc72374206,2017-02-06T23:50:21.500Z,"24km S of Willow Creek, California",earthquake,0.21,0.48,0.14,48,reviewed,nc,nc
2015-01-03T05:17:31.570Z,40.9635,-124.4561667,19.779,2.6,md,45,217,0.355,0.07,nc,nc72374321,2017-02-06T23:51:53.730Z,"29km W of McKinleyville, California",earthquake,0.29,0.35,0.182,43,reviewed,nc,nc
2015-01-03T14:44:52.650Z,39.8105,-123.4813333,8.156,3.27,mw,32,74,0.001802,0.05,nc,nc72374656,2017-02-06T23:55:01.680Z,"13km N of Laytonville, California",earthquake,0.12,0.22,,3,reviewed,nc,nc
2015-01-04T01:49:55.840Z,50.579,-130.454,10,4.5,mwr,,,,1.39,us,usc000tbip,2015-03-27T07:01:35.040Z,"215km W of Port Hardy, Canada",earthquake,5.3,1.5,,,reviewed,pgc,pgc
2015-01-04T06:03:43.809Z,41.8917,-119.6472,10.1,3.4,ml,5,217.72,0.126,0.1266,nn,nn00475168,2018-06-29T23:42:00.226Z,"70km ESE of Lakeview, Oregon",earthquake,,4.4,0.58,5,reviewed,nn,nn
2015-01-04T06:08:27.684Z,41.865,-119.6321,7.8,2.5,ml,5,222.48,0.15,0.1273,nn,nn00475175,2018-06-29T23:42:00.322Z,"72km ESE of Lakeview, Oregon",earthquake,,4.5,0.42,5,reviewed,nn,nn
2015-01-04T07:03:21.114Z,41.9069,-119.6541,5.4,3.1,ml,5,214.99,0.114,0.1231,nn,nn00475188,2018-06-29T23:42:01.604Z,"65km ESE of Lakeview, Oregon",earthquake,,7.1,0.32,5,reviewed,nn,nn
2015-01-04T07:41:14.816Z,41.8955,-119.6363,9.7,2.9,ml,6,130.58,0.131,0.1536,nn,nn00475195,2018-06-29T23:42:01.898Z,"67km ESE of Lakeview, Oregon",earthquake,,4.4,0.53,6,reviewed,nn,nn
2015-01-04T08:32:33.473Z,41.8846,-119.6399,10.3,3.1,ml,5,100.57,0.134,0.1383,nn,nn00475208,2018-06-29T23:42:02.607Z,"68km ESE of Lakeview, Oregon",earthquake,,5.1,0.36,5,reviewed,nn,nn
2015-01-04T09:28:36.489Z,41.8986,-119.6412,11.6,3.3,ml,5,129.27,0.126,0.1343,nn,nn00475225,2018-06-29T23:42:03.398Z,"64km ESE of Lakeview, Oregon",earthquake,,4.3,0.45,5,reviewed,nn,nn
2015-01-04T09:54:34.630Z,41.8723,-119.6277,8.4,2.6,ml,5,122.8,0.149,0.0991,nn,nn00475241,2018-06-29T23:42:03.613Z,"72km ESE of Lakeview, Oregon",earthquake,,5.8,0.48,5,reviewed,nn,nn
2015-01-04T09:56:43.113Z,41.8841,-119.6294,8.9,4.1,ml,5,100.47,0.141,0.1454,nn,nn00481243,2018-07-05T18:16:20.378Z,"68km ESE of Lakeview, Oregon",earthquake,,4.7,0.36,5,reviewed,nn,nn
2015-01-04T10:06:47.929Z,41.8992,-119.6383,10.8,2.7,ml,5,111.14,0.128,0.1431,nn,nn00475244,2018-06-29T23:42:09.480Z,"72km ESE of Lakeview, Oregon",earthquake,,3.6,0.34,5,reviewed,nn,nn
2015-01-04T11:37:26.384Z,41.871,-119.6285,8.1,2.5,ml,5,122.82,0.149,0.1771,nn,nn00475260,2018-06-29T23:42:09.363Z,"72km ESE of Lakeview, Oregon",earthquake,,5,0.41,5,reviewed,nn,nn
2015-01-04T13:44:25.073Z,41.88,-119.6164,7.5,2.6,ml,5,125.29,0.151,0.1099,nn,nn00475293,2018-06-29T23:42:09.709Z,"69km ESE of Lakeview, Oregon",earthquake,,4.2,0.25,5,reviewed,nn,nn
2015-01-04T17:17:25.661Z,41.8682,-119.6374,8.6,2.8,ml,5,221.85,0.145,0.1409,nn,nn00475327,2018-06-29T23:41:55.336Z,"68km ESE of Lakeview, Oregon",earthquake,,4,0.36,5,reviewed,nn,nn
2015-01-04T20:08:14.199Z,41.8825,-119.6389,10.4,3.9,ml,5,100.39,0.136,0.0941,nn,nn00475344,2018-06-29T23:42:08.831Z,"67km ESE of Lakeview, Oregon",earthquake,,4,0.38,5,reviewed,nn,nn
2015-01-04T23:33:58.309Z,41.8671,-119.636,8,2.6,ml,5,132.06,0.147,0.1584,nn,nn00475371,2018-06-29T23:42:09.598Z,"69km ESE of Lakeview, Oregon",earthquake,,4.3,0.46,5,reviewed,nn,nn
2015-01-05T01:47:21.986Z,41.8698,-119.6366,7.9,3.7,ml,5,99.33,0.145,0.1379,nn,nn00475380,2018-06-29T23:42:18.095Z,"70km ESE of Lakeview, Oregon",earthquake,,6.3,0.56,5,reviewed,nn,nn
2015-01-05T06:23:00.507Z,41.8943,-119.6452,10.5,2.6,ml,5,101.41,0.126,0.1148,nn,nn00475415,2018-06-29T23:42:10.374Z,"63km ESE of Lakeview, Oregon",earthquake,,4.9,0.55,5,reviewed,nn,nn
2015-01-05T15:35:50.158Z,41.8852,-119.641,9.8,3.7,ml,7,100.62,0.133,0.1816,nn,nn00475453,2018-06-29T23:42:11.060Z,"67km ESE of Lakeview, Oregon",earthquake,,5.3,0.31,7,reviewed,nn,nn
